epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,time
1,phase1,3.7454,23.29,2.6618,40.12,0.010000,7.6
2,phase1,2.4118,44.37,2.2592,46.74,0.009755,7.3
3,phase1,2.1637,48.49,2.1305,48.86,0.009045,7.2
4,phase2,2.2099,45.45,2.5860,37.96,0.100000,14.1
5,phase2,1.9706,50.45,3.3622,26.17,0.097553,14.4
6,phase2,1.8577,52.87,2.6000,39.49,0.090451,13.8
7,phase2,1.7454,55.36,2.5960,39.25,0.079389,14.0
8,phase2,1.6050,58.46,2.2976,44.62,0.065451,13.9
9,phase2,1.4363,62.49,2.1133,48.95,0.050000,13.8
10,phase2,1.2625,66.42,1.8701,53.76,0.034549,13.9
